Butcher,butcher|billy|karl|urban
Hughie,hugh|jack|quaid|campbell
Starlight,starlight|annie|january|erin|moriaty
Soldier Boy,soldier boy|soldierboy|jensen|ackles
M.M.,m.m.|mother's milk|marvin|laz|alonso
Frenchie,frenchie|frenchman|serge|tomer|capon
Kimiko,kimiko|miyashiro|karen|fukahara
A-Train,a train|atrain|a-train|reggie|jessie|usher
Ashley,ashley|barrett|colby|minifie
Deep,deep|chace|kevin|crawford
Stan Edgar,stan|edgar|giancarlo|esposito|justiin|davis
Newman,victoria|vicky|vicki|nadia|claudia|doumit
Queen Maeve,maeve|maggie|dominique|mcelligott
Black Noir,noir|nathan|mitchell|fritzy|klevans|destine|earving
Crimson Countess,crimson|countess|laurie|holden
Ryan,ryan|cameron|crovetti
Homelander,homelander|antony|starr
